Copepod_species,Copepod_order,Copepod_family,Host_species,Host_order,Host_family,Host_genus,BodyShapeI.x,Fresh,Brack,Saltwater,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,LongevityWild,Length.x,LTypeMaxM,Class,BodyShapeI.y
Caligus mugilis,Siphonostomatoida,Caligidae,Mugil cephalus,Mugiliformes,Mugilidae,Mugil,fusiform / normal,1,1,1,benthopelagic,catadromous,0,120,16,100,SL,Actinopteri,fusiform / normal
Caligus mugilis,Siphonostomatoida,Caligidae,Mugil cephalus,Mugiliformes,Mugilidae,Mugil,fusiform / normal,1,1,1,benthopelagic,catadromous,0,120,16,100,SL,Actinopteri,fusiform / normal
Caligus mugilis,Siphonostomatoida,Caligidae,Dicentrarchus labrax,Eupercaria incertae sedis,Moronidae,Dicentrarchus,fusiform / normal,1,1,1,demersal,oceanodromous,10,100,30,103,TL,Actinopteri,fusiform / normal
Caligus mugilis,Siphonostomatoida,Caligidae,Dicentrarchus labrax,Eupercaria incertae sedis,Moronidae,Dicentrarchus,fusiform / normal,1,1,1,demersal,oceanodromous,10,100,30,103,TL,Actinopteri,fusiform / normal
Caligus mugilis,Siphonostomatoida,Caligidae,Dicentrarchus labrax,Eupercaria incertae sedis,Moronidae,Dicentrarchus,fusiform / normal,1,1,1,demersal,oceanodromous,10,100,30,103,TL,Actinopteri,fusiform / normal
Alebion carchariae,Siphonostomatoida,Caligidae,Sphyrna tudes,Carcharhiniformes,Sphyrnidae,Sphyrna,elongated,0,0,1,benthopelagic,NA,NA,NA,NA,134,TL,Elasmobranchii,elongated
Alebion carchariae,Siphonostomatoida,Caligidae,Carcharias taurus,Lamniformes,Odontaspididae,Carcharias,fusiform / normal,0,0,1,reef-associated,oceanodromous,1,191,NA,330,TL,Elasmobranchii,fusiform / normal
Alebion carchariae,Siphonostomatoida,Caligidae,Prionace glauca,Carcharhiniformes,Carcharhinidae,Prionace,fusiform / normal,0,1,1,pelagic-oceanic,oceanodromous,1,1000,20,400,TL,Elasmobranchii,fusiform / normal
Alebion carchariae,Siphonostomatoida,Caligidae,Carcharhinus plumbeus,Carcharhiniformes,Carcharhinidae,Carcharhinus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,0,500,34,180,TL,Elasmobranchii,fusiform / normal
Alebion carchariae,Siphonostomatoida,Caligidae,Sphyrna zygaena,Carcharhiniformes,Sphyrnidae,Sphyrna,elongated,0,1,1,pelagic-oceanic,oceanodromous,0,200,21,500,TL,Elasmobranchii,elongated
Alebion carchariae,Siphonostomatoida,Caligidae,Galeocerdo cuvier,Carcharhiniformes,Carcharhinidae,Galeocerdo,fusiform / normal,0,1,1,benthopelagic,oceanodromous,0,800,50,750,TL,Elasmobranchii,fusiform / normal
Alebion carchariae,Siphonostomatoida,Caligidae,Carcharhinus falciformis,Carcharhiniformes,Carcharhinidae,Carcharhinus,fusiform / normal,0,0,1,reef-associated,oceanodromous,0,4000,25,350,TL,Elasmobranchii,fusiform / normal
Alebion carchariae,Siphonostomatoida,Caligidae,Carcharhinus albimarginatus,Carcharhiniformes,Carcharhinidae,Carcharhinus,fusiform / normal,0,0,1,reef-associated,NA,1,800,NA,300,TL,Elasmobranchii,fusiform / normal
Alebion carchariae,Siphonostomatoida,Caligidae,Carcharhinus leucas,Carcharhiniformes,Carcharhinidae,Carcharhinus,fusiform / normal,1,1,1,reef-associated,amphidromous,1,152,32,360,TL,Elasmobranchii,fusiform / normal
Alebion carchariae,Siphonostomatoida,Caligidae,Carcharhinus obscurus,Carcharhiniformes,Carcharhinidae,Carcharhinus,fusiform / normal,0,1,1,reef-associated,oceanodromous,0,400,40,420,TL,Elasmobranchii,fusiform / normal
Alebion carchariae,Siphonostomatoida,Caligidae,Carcharodon carcharias,Lamniformes,Lamnidae,Carcharodon,fusiform / normal,0,1,1,pelagic-oceanic,oceanodromous,0,1200,36,640,TL,Elasmobranchii,fusiform / normal
Euryphorus brachypterus,Siphonostomatoida,Caligidae,Thunnus albacares,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,1,1,pelagic-oceanic,oceanodromous,1,250,9,239,FL,Actinopteri,fusiform / normal
Euryphorus brachypterus,Siphonostomatoida,Caligidae,Thunnus thynnus,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,1,1,pelagic-oceanic,oceanodromous,0,985,32,458,TL,Actinopteri,fusiform / normal
Euryphorus brachypterus,Siphonostomatoida,Caligidae,Thunnus alalunga,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,0,1,pelagic-oceanic,oceanodromous,0,600,9,140,FL,Actinopteri,fusiform / normal
Euryphorus brachypterus,Siphonostomatoida,Caligidae,Thunnus atlanticus,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,0,1,pelagic-oceanic,oceanodromous,50,NA,NA,107.9499969,FL,Actinopteri,fusiform / normal
Euryphorus brachypterus,Siphonostomatoida,Caligidae,Thunnus maccoyii,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,0,1,pelagic-oceanic,oceanodromous,50,2743,20,245,FL,Actinopteri,fusiform / normal
Euryphorus brachypterus,Siphonostomatoida,Caligidae,Thunnus obesus,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,0,1,pelagic-oceanic,oceanodromous,0,1500,11,250,TL,Actinopteri,fusiform / normal
Euryphorus brachypterus,Siphonostomatoida,Caligidae,Coryphaena hippurus,Carangiformes,Coryphaenidae,Coryphaena,elongated,0,1,1,pelagic-neritic,oceanodromous,0,85,4,210,TL,Actinopteri,fusiform / normal
Caligodes laciniatus,Siphonostomatoida,Caligidae,Ablennes hians,Beloniformes,Belonidae,Ablennes,elongated,0,1,1,reef-associated,oceanodromous,0,3,NA,140,TL,Actinopteri,elongated
Caligodes laciniatus,Siphonostomatoida,Caligidae,Strongylura leiura,Beloniformes,Belonidae,Strongylura,elongated,0,1,1,reef-associated,oceanodromous,0,3,NA,100,TL,Actinopteri,elongated
Caligodes laciniatus,Siphonostomatoida,Caligidae,Tylosurus choram,Beloniformes,Belonidae,Tylosurus,elongated,0,0,1,pelagic-oceanic,NA,0,NA,NA,120,TL,Actinopteri,elongated
Caligodes laciniatus,Siphonostomatoida,Caligidae,Tylosurus crocodilus,Beloniformes,Belonidae,Tylosurus,elongated,0,0,1,reef-associated,oceanodromous,0,13,NA,150,TL,Actinopteri,elongated
Caligodes laciniatus,Siphonostomatoida,Caligidae,Strongylura strongylura,Beloniformes,Belonidae,Strongylura,elongated,0,1,1,pelagic-neritic,NA,5,25,NA,40,SL,Actinopteri,elongated
Caligodes laciniatus,Siphonostomatoida,Caligidae,Tylosurus acus imperialis,Beloniformes,Belonidae,Tylosurus,elongated,0,0,1,pelagic-oceanic,NA,0,10,NA,140,SL,Actinopteri,elongated
Caligodes laciniatus,Siphonostomatoida,Caligidae,Sphyraena argentea,Carangaria incertae sedis,Sphyraenidae,Sphyraena,elongated,0,0,1,pelagic-neritic,oceanodromous,0,18,12,145,FL,Actinopteri,elongated
Caligus belones,Siphonostomatoida,Caligidae,Belone belone,Beloniformes,Belonidae,Belone,elongated,0,1,1,pelagic-oceanic,oceanodromous,0,NA,NA,104,TL,Actinopteri,elongated
Caligus belones,Siphonostomatoida,Caligidae,Belone svetovidovi,Beloniformes,Belonidae,Belone,elongated,0,0,1,pelagic-oceanic,NA,0,NA,NA,41.79999924,TL,Actinopteri,elongated
Caligus belones,Siphonostomatoida,Caligidae,Argyrosomus regius,Eupercaria incertae sedis,Sciaenidae,Argyrosomus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,15,300,NA,230,TL,Actinopteri,fusiform / normal
Caligus biaculeatus,Siphonostomatoida,Caligidae,Haemulon sciurus,Eupercaria incertae sedis,Haemulidae,Haemulon,fusiform / normal,0,0,1,reef-associated,NA,0,30,12,46,TL,Actinopteri,fusiform / normal
Caligus biaculeatus,Siphonostomatoida,Caligidae,Halichoeres bivittatus,Eupercaria incertae sedis,Labridae,Halichoeres,fusiform / normal,0,0,1,reef-associated,NA,1,15,NA,35,TL,Actinopteri,fusiform / normal
Caligus biaculeatus,Siphonostomatoida,Caligidae,Malacanthus plumieri,Eupercaria incertae sedis,Malacanthidae,Malacanthus,elongated,0,0,1,reef-associated,NA,10,153,NA,70,SL,Actinopteri,fusiform / normal
Caligus biaculeatus,Siphonostomatoida,Caligidae,Sparisoma viride,Eupercaria incertae sedis,Scaridae,Sparisoma,fusiform / normal,0,0,1,reef-associated,NA,3,50,NA,64,TL,Actinopteri,fusiform / normal
Caligus biaculeatus,Siphonostomatoida,Caligidae,Acanthurus bahianus,Acanthuriformes,Acanthuridae,Acanthurus,short and / or deep,0,0,1,reef-associated,NA,2,40,NA,NA,NA,Actinopteri,short and / or deep
Caligus biaculeatus,Siphonostomatoida,Caligidae,Acanthurus chirurgus,Acanthuriformes,Acanthuridae,Acanthurus,short and / or deep,0,0,1,reef-associated,NA,2,25,NA,39,TL,Actinopteri,short and / or deep
Caligus biaculeatus,Siphonostomatoida,Caligidae,Acanthurus coeruleus,Acanthuriformes,Acanthuridae,Acanthurus,short and / or deep,0,0,1,reef-associated,NA,2,40,NA,39,TL,Actinopteri,short and / or deep
Caligus biaculeatus,Siphonostomatoida,Caligidae,Aulostomus maculatus,Syngnathiformes,Aulostomidae,Aulostomus,elongated,0,0,1,reef-associated,NA,2,25,NA,100,TL,Actinopteri,elongated
Caligus brevicaudatus,Siphonostomatoida,Caligidae,Belone belone,Beloniformes,Belonidae,Belone,elongated,0,1,1,pelagic-oceanic,oceanodromous,0,NA,NA,104,TL,Actinopteri,elongated
Caligus brevicaudatus,Siphonostomatoida,Caligidae,Chelidonichthys lucerna,Perciformes,Triglidae,Chelidonichthys,elongated,0,0,1,demersal,NA,20,318,15,75.09999847,TL,Actinopteri,fusiform / normal
Caligus brevicaudatus,Siphonostomatoida,Caligidae,Chelidonichthys capensis,Perciformes,Triglidae,Chelidonichthys,fusiform / normal,0,0,1,demersal,NA,10,390,16,75,TL,Actinopteri,fusiform / normal
Caligus brevicaudatus,Siphonostomatoida,Caligidae,Paralichthys olivaceus,Pleuronectiformes,Paralichthyidae,Paralichthys,fusiform / normal,0,0,1,demersal,oceanodromous,10,200,NA,103,TL,Actinopteri,short and / or deep
Caligus centrodonti,Siphonostomatoida,Caligidae,Symphodus melops,Eupercaria incertae sedis,Labridae,Symphodus,fusiform / normal,0,0,1,reef-associated,non-migratory,NA,NA,9,28,SL,Actinopteri,fusiform / normal
Caligus centrodonti,Siphonostomatoida,Caligidae,Labrus bergylta,Eupercaria incertae sedis,Labridae,Labrus,fusiform / normal,0,0,1,reef-associated,NA,1,50,29,65.90000153,TL,Actinopteri,fusiform / normal
Caligus centrodonti,Siphonostomatoida,Caligidae,Pagellus bogaraveo,Eupercaria incertae sedis,Sparidae,Pagellus,fusiform / normal,0,0,1,benthopelagic,NA,150,700,15,70,SL,Actinopteri,fusiform / normal
Caligus centrodonti,Siphonostomatoida,Caligidae,Labrus merula,Eupercaria incertae sedis,Labridae,Labrus,fusiform / normal,0,0,1,reef-associated,NA,NA,NA,17,45,SL,Actinopteri,fusiform / normal
Caligus centrodonti,Siphonostomatoida,Caligidae,Centrolabrus exoletus,Eupercaria incertae sedis,Labridae,Centrolabrus,fusiform / normal,0,0,1,reef-associated,NA,NA,NA,6,18,TL,Actinopteri,fusiform / normal
Caligus centrodonti,Siphonostomatoida,Caligidae,Ctenolabrus rupestris,Eupercaria incertae sedis,Labridae,Ctenolabrus,fusiform / normal,0,0,1,reef-associated,NA,1,50,8,18,TL,Actinopteri,fusiform / normal
Caligus centrodonti,Siphonostomatoida,Caligidae,Mullus surmuletus,Mulliformes,Mullidae,Mullus,fusiform / normal,0,0,1,demersal,oceanodromous,5,409,11,40,SL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Thunnus thynnus,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,1,1,pelagic-oceanic,oceanodromous,0,985,32,458,TL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Katsuwonus pelamis,Scombriformes,Scombridae,Katsuwonus,fusiform / normal,0,0,1,pelagic-oceanic,oceanodromous,0,260,12,110,FL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Squalus acanthias,Squaliformes,Squalidae,Squalus,elongated,0,1,1,benthopelagic,oceanodromous,0,1460,75,160,TL,Elasmobranchii,elongated
Caligus coryphaenae,Siphonostomatoida,Caligidae,Thunnus obesus,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,0,1,pelagic-oceanic,oceanodromous,0,1500,11,250,TL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Euthynnus affinis,Scombriformes,Scombridae,Euthynnus,fusiform / normal,0,0,1,pelagic-neritic,oceanodromous,0,200,NA,100,FL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Coryphaena hippurus,Carangiformes,Coryphaenidae,Coryphaena,elongated,0,1,1,pelagic-neritic,oceanodromous,0,85,4,210,TL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Acanthocybium solandri,Scombriformes,Scombridae,Acanthocybium,elongated,0,0,1,pelagic-oceanic,oceanodromous,0,20,NA,250,TL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Thunnus albacares,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,1,1,pelagic-oceanic,oceanodromous,1,250,9,239,FL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Pomatomus saltatrix,Scombriformes,Pomatomidae,Pomatomus,fusiform / normal,0,1,1,pelagic-oceanic,oceanodromous,0,200,9,130,TL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Thunnus alalunga,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,0,1,pelagic-oceanic,oceanodromous,0,600,9,140,FL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Thunnus atlanticus,Scombriformes,Scombridae,Thunnus,fusiform / normal,0,0,1,pelagic-oceanic,oceanodromous,50,NA,NA,107.9499969,FL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Grammatorcynus bilineatus,Scombriformes,Scombridae,Grammatorcynus,fusiform / normal,0,0,1,reef-associated,oceanodromous,15,50,NA,100,FL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Sarda orientalis,Scombriformes,Scombridae,Sarda,fusiform / normal,0,0,1,pelagic-neritic,oceanodromous,1,167,NA,102,FL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Caranx melampygus,Carangiformes,Carangidae,Caranx,fusiform / normal,0,1,1,reef-associated,NA,0,190,NA,117,FL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Euthynnus alletteratus,Scombriformes,Scombridae,Euthynnus,fusiform / normal,0,1,1,pelagic-oceanic,oceanodromous,1,150,10,122,TL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Seriola lalandi,Carangiformes,Carangidae,Seriola,fusiform / normal,0,1,1,benthopelagic,NA,3,825,12,250,TL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Seriola quinqueradiata,Carangiformes,Carangidae,Seriola,fusiform / normal,0,0,1,demersal,oceanodromous,NA,100,NA,150,TL,Actinopteri,fusiform / normal
Caligus coryphaenae,Siphonostomatoida,Caligidae,Caranx hippos,Carangiformes,Carangidae,Caranx,fusiform / normal,0,1,1,reef-associated,oceanodromous,1,350,NA,124,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Merlangius merlangus,Gadiformes,Gadidae,Merlangius,fusiform / normal,0,1,1,benthopelagic,oceanodromous,10,200,20,91.5,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Lophius piscatorius,Lophiiformes,Lophiidae,Lophius,short and / or deep,0,0,1,bathydemersal,NA,20,1000,24,200,SL,Actinopteri,short and / or deep
Caligus curtus,Siphonostomatoida,Caligidae,Salmo salar,Salmoniformes,Salmonidae,Salmo,fusiform / normal,1,1,1,benthopelagic,anadromous,0,210,13,150,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Squalus acanthias,Squaliformes,Squalidae,Squalus,elongated,0,1,1,benthopelagic,oceanodromous,0,1460,75,160,TL,Elasmobranchii,elongated
Caligus curtus,Siphonostomatoida,Caligidae,Melanogrammus aeglefinus,Gadiformes,Gadidae,Melanogrammus,fusiform / normal,0,0,1,demersal,oceanodromous,10,450,20,112,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Pollachius virens,Gadiformes,Gadidae,Pollachius,fusiform / normal,0,0,1,demersal,oceanodromous,37,364,25,130,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Hippoglossus hippoglossus,Pleuronectiformes,Pleuronectidae,Hippoglossus,fusiform / normal,0,0,1,demersal,oceanodromous,50,2000,50,470,TL,Actinopteri,short and / or deep
Caligus curtus,Siphonostomatoida,Caligidae,Microstomus kitt,Pleuronectiformes,Pleuronectidae,Microstomus,short and / or deep,0,0,1,demersal,oceanodromous,10,200,23,65,TL,Actinopteri,short and / or deep
Caligus curtus,Siphonostomatoida,Caligidae,Gadus morhua,Gadiformes,Gadidae,Gadus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,0,600,25,200,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Molva molva,Gadiformes,Lotidae,Molva,elongated,0,0,1,demersal,oceanodromous,100,1000,25,200,TL,Actinopteri,elongated
Caligus curtus,Siphonostomatoida,Caligidae,Pollachius pollachius,Gadiformes,Gadidae,Pollachius,fusiform / normal,0,0,1,benthopelagic,oceanodromous,40,200,8,130,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Chelidonichthys queketti,Perciformes,Triglidae,Chelidonichthys,elongated,0,0,1,demersal,NA,0,150,7,35,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Chelidonichthys capensis,Perciformes,Triglidae,Chelidonichthys,fusiform / normal,0,0,1,demersal,NA,10,390,16,75,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Merluccius bilinearis,Gadiformes,Merlucciidae,Merluccius,elongated,0,0,1,demersal,oceanodromous,55,914,12,76,TL,Actinopteri,elongated
Caligus curtus,Siphonostomatoida,Caligidae,Microgadus tomcod,Gadiformes,Gadidae,Microgadus,elongated,1,1,1,demersal,anadromous,0,69,NA,38.09999847,TL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Salmo trutta,Salmoniformes,Salmonidae,Salmo,fusiform / normal,1,1,1,pelagic-neritic,anadromous,0,28,38,140,SL,Actinopteri,fusiform / normal
Caligus curtus,Siphonostomatoida,Caligidae,Pristipomoides typus,Eupercaria incertae sedis,Lutjanidae,Pristipomoides,fusiform / normal,0,0,1,demersal,NA,40,120,11,70,TL,Actinopteri,fusiform / normal
Caligus deformis,Siphonostomatoida,Caligidae,Spondyliosoma cantharus,Eupercaria incertae sedis,Sparidae,Spondyliosoma,fusiform / normal,0,0,1,benthopelagic,oceanodromous,5,300,NA,60,SL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Lophius piscatorius,Lophiiformes,Lophiidae,Lophius,short and / or deep,0,0,1,bathydemersal,NA,20,1000,24,200,SL,Actinopteri,short and / or deep
Caligus diaphanus,Siphonostomatoida,Caligidae,Caranx hippos,Carangiformes,Carangidae,Caranx,fusiform / normal,0,1,1,reef-associated,oceanodromous,1,350,NA,124,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Pagellus acarne,Eupercaria incertae sedis,Sparidae,Pagellus,fusiform / normal,0,0,1,benthopelagic,oceanodromous,NA,500,NA,36,SL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Lutjanus argentiventris,Eupercaria incertae sedis,Lutjanidae,Lutjanus,fusiform / normal,0,1,1,reef-associated,NA,3,60,NA,71,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Lutjanus guttatus,Eupercaria incertae sedis,Lutjanidae,Lutjanus,fusiform / normal,0,0,1,reef-associated,NA,10,60,NA,80,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Lates calcarifer,Carangaria incertae sedis,Latidae,Lates,fusiform / normal,1,1,1,demersal,catadromous,10,40,NA,200,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Trigla lyra,Perciformes,Triglidae,Trigla,fusiform / normal,0,0,1,bathydemersal,NA,NA,700,7,60,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Trachurus trachurus,Carangiformes,Carangidae,Trachurus,fusiform / normal,0,0,1,pelagic-neritic,oceanodromous,0,1050,NA,70,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Platichthys flesus,Pleuronectiformes,Pleuronectidae,Platichthys,short and / or deep,1,1,1,demersal,catadromous,1,100,15,60,TL,Actinopteri,short and / or deep
Caligus diaphanus,Siphonostomatoida,Caligidae,Chelidonichthys lucerna,Perciformes,Triglidae,Chelidonichthys,elongated,0,0,1,demersal,NA,20,318,15,75.09999847,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Pollachius virens,Gadiformes,Gadidae,Pollachius,fusiform / normal,0,0,1,demersal,oceanodromous,37,364,25,130,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Gadus morhua,Gadiformes,Gadidae,Gadus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,0,600,25,200,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Chelidonichthys capensis,Perciformes,Triglidae,Chelidonichthys,fusiform / normal,0,0,1,demersal,NA,10,390,16,75,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Lepidotrigla cavillone,Perciformes,Triglidae,Lepidotrigla,fusiform / normal,0,0,1,demersal,NA,30,450,NA,20,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Lithognathus mormyrus,Eupercaria incertae sedis,Sparidae,Lithognathus,fusiform / normal,0,1,1,demersal,NA,0,150,12,55,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Eutrigla gurnardus,Perciformes,Triglidae,Eutrigla,elongated,0,1,1,demersal,NA,10,340,NA,60,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Pagellus erythrinus,Eupercaria incertae sedis,Sparidae,Pagellus,fusiform / normal,0,0,1,benthopelagic,NA,NA,300,NA,60,SL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Pagellus bogaraveo,Eupercaria incertae sedis,Sparidae,Pagellus,fusiform / normal,0,0,1,benthopelagic,NA,150,700,15,70,SL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Lutjanus peru,Eupercaria incertae sedis,Lutjanidae,Lutjanus,fusiform / normal,0,0,1,reef-associated,NA,NA,40,NA,95,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Trachinotus botla,Carangiformes,Carangidae,Trachinotus,fusiform / normal,0,1,1,reef-associated,NA,NA,NA,NA,75,TL,Actinopteri,fusiform / normal
Caligus diaphanus,Siphonostomatoida,Caligidae,Scomberomorus tritor,Scombriformes,Scombridae,Scomberomorus,fusiform / normal,0,1,1,pelagic-neritic,oceanodromous,1,40,5,100,TL,Actinopteri,fusiform / normal
Caligus dicentrarchi,Siphonostomatoida,Caligidae,Dicentrarchus labrax,Eupercaria incertae sedis,Moronidae,Dicentrarchus,fusiform / normal,1,1,1,demersal,oceanodromous,10,100,30,103,TL,Actinopteri,fusiform / normal
Caligus dieuzeidei,Siphonostomatoida,Caligidae,Diplodus sargus,Eupercaria incertae sedis,Sparidae,Diplodus,fusiform / normal,0,1,1,demersal,oceanodromous,0,50,10,45,TL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Clupea harengus,Clupeiformes,Clupeidae,Clupea,fusiform / normal,0,1,1,benthopelagic,oceanodromous,0,364,25,45,SL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Pollachius pollachius,Gadiformes,Gadidae,Pollachius,fusiform / normal,0,0,1,benthopelagic,oceanodromous,40,200,8,130,TL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Pollachius virens,Gadiformes,Gadidae,Pollachius,fusiform / normal,0,0,1,demersal,oceanodromous,37,364,25,130,TL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Salmo salar,Salmoniformes,Salmonidae,Salmo,fusiform / normal,1,1,1,benthopelagic,anadromous,0,210,13,150,TL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Salmo trutta,Salmoniformes,Salmonidae,Salmo,fusiform / normal,1,1,1,pelagic-neritic,anadromous,0,28,38,140,SL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Gadus morhua,Gadiformes,Gadidae,Gadus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,0,600,25,200,TL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Platichthys flesus,Pleuronectiformes,Pleuronectidae,Platichthys,short and / or deep,1,1,1,demersal,catadromous,1,100,15,60,TL,Actinopteri,short and / or deep
Caligus elongatus,Siphonostomatoida,Caligidae,Symphodus tinca,Eupercaria incertae sedis,Labridae,Symphodus,fusiform / normal,0,1,1,reef-associated,NA,1,50,15,44,SL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Cyclopterus lumpus,Perciformes,Cyclopteridae,Cyclopterus,short and / or deep,0,0,1,benthopelagic,oceanodromous,0,868,13,61,TL,Actinopteri,short and / or deep
Caligus elongatus,Siphonostomatoida,Caligidae,Salvelinus alpinus,Salmoniformes,Salmonidae,Salvelinus,fusiform / normal,1,1,1,benthopelagic,anadromous,0,70,40,107,TL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Melanogrammus aeglefinus,Gadiformes,Gadidae,Melanogrammus,fusiform / normal,0,0,1,demersal,oceanodromous,10,450,20,112,TL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Hippoglossus hippoglossus,Pleuronectiformes,Pleuronectidae,Hippoglossus,fusiform / normal,0,0,1,demersal,oceanodromous,50,2000,50,470,TL,Actinopteri,short and / or deep
Caligus elongatus,Siphonostomatoida,Caligidae,Merluccius bilinearis,Gadiformes,Merlucciidae,Merluccius,elongated,0,0,1,demersal,oceanodromous,55,914,12,76,TL,Actinopteri,elongated
Caligus elongatus,Siphonostomatoida,Caligidae,Microgadus tomcod,Gadiformes,Gadidae,Microgadus,elongated,1,1,1,demersal,anadromous,0,69,NA,38.09999847,TL,Actinopteri,fusiform / normal
Caligus elongatus,Siphonostomatoida,Caligidae,Salvelinus fontinalis,Salmoniformes,Salmonidae,Salvelinus,fusiform / normal,1,1,1,benthopelagic,anadromous,15,27,24,86,SL,Actinopteri,fusiform / normal
