"","...1","name","tiplabel","species","AphiaID"
"3906",3906,3906,"Cottus_asperrimus","Cottus asperrimus",1018198
"3907",3907,3907,"Cottus_princeps","Cottus princeps",1019153
"3908",3908,3908,"Cottus_amblystomopsis","Cottus amblystomopsis",274367
"3909",3909,3909,"Cottus_nozawae","Cottus nozawae",1017687
"3910",3910,3910,"Cottus_volki","Cottus volki",1015648
"3911",3911,3911,"Cottus_hangiongensis","Cottus hangiongensis",274369
"3912",3912,3912,"Cottus_pollux","Cottus pollux",1020436
"3913",3913,3913,"Cottus_reinii","Cottus reinii",1375211
"3914",3914,3914,"Cottus_poecilopus","Cottus poecilopus",127197
"3915",3915,3915,"Cottus_kazika","Cottus kazika",274370
"3916",3916,3916,"Trachidermus_fasciatus","Trachidermus fasciatus",283028
"3917",3917,3917,"Leptocottus_armatus","Leptocottus armatus",254345
"3918",3918,3918,"Jordania_zonope","Jordania zonope",NA
"3919",3919,3919,"Nautichthys_pribilovius","Nautichthys pribilovius",254543
"3920",3920,3920,"Nautichthys_oculofasciatus","Nautichthys oculofasciatus",254542
"3921",3921,3921,"Podothecus_accipenserinus","Podothecus accipenserinus",254501
"3922",3922,3922,"Podothecus_veternus","Podothecus veternus",254509
"3923",3923,3923,"Podothecus_sachi","Podothecus sachi",279434
"3924",3924,3924,"Leptagonus_decagonus","Leptagonus decagonus",127191
"3925",3925,3925,"Ulcina_olrikii","Ulcina olrikii",274356
"3926",3926,3926,"Aspidophoroides_monopterygius","Aspidophoroides monopterygius",159459
"3927",3927,3927,"Anoplagonus_inermis","Anoplagonus inermis",279630
"3928",3928,3928,"Freemanichthys_thompsoni","Freemanichthys thompsoni",280801
"3929",3929,3929,"Sarritor_leptorhynchus","Sarritor leptorhynchus",254376
"3930",3930,3930,"Agonus_cataphractus","Agonus cataphractus",127190
"3931",3931,3931,"Bathyagonus_nigripinnis","Bathyagonus nigripinnis",254505
"3932",3932,3932,"Bathyagonus_pentacanthus","Bathyagonus pentacanthus",254506
"3933",3933,3933,"Xeneretmus_leiops","Xeneretmus leiops",283172
"3934",3934,3934,"Xeneretmus_latifrons","Xeneretmus latifrons",283171
"3935",3935,3935,"Bathyagonus_alascanus","Bathyagonus alascanus",254503
"3936",3936,3936,"Bathyagonus_infraspinatus","Bathyagonus infraspinatus",254504
"3937",3937,3937,"Odontopyxis_trispinosa","Odontopyxis trispinosa",281836
"3938",3938,3938,"Agonopsis_sterletus","Agonopsis sterletus",279521
"3939",3939,3939,"Agonopsis_vulsa","Agonopsis vulsa",279522
"3940",3940,3940,"Stellerina_xyosterna","Stellerina xyosterna",254366
"3941",3941,3941,"Tilesina_gibbosa","Tilesina gibbosa",282981
"3942",3942,3942,"Hypsagonus_quadricornis","Hypsagonus quadricornis",254508
"3943",3943,3943,"Blepsias_cirrhosus","Blepsias cirrhosus",279417
"3944",3944,3944,"Nautichthys_robustus","Nautichthys robustus",254401
"3945",3945,3945,"Blepsias_bilobus","Blepsias bilobus",254540
"3946",3946,3946,"Hemitripterus_villosus","Hemitripterus villosus",276257
"3947",3947,3947,"Hemitripterus_americanus","Hemitripterus americanus",NA
"3948",3948,3948,"Hemilepidotus_jordani","Hemilepidotus jordani",254522
"3949",3949,3949,"Hemilepidotus_gilberti","Hemilepidotus gilberti",254520
"3950",3950,3950,"Hemilepidotus_papilio","Hemilepidotus papilio",254523
"3951",3951,3951,"Hemilepidotus_hemilepidotus","Hemilepidotus hemilepidotus",254521
"3952",3952,3952,"Hemilepidotus_zapus","Hemilepidotus zapus",279414
"3953",3953,3953,"Hemilepidotus_spinosus","Hemilepidotus spinosus",279413
"3954",3954,3954,"Marukawichthys_ambulator","Marukawichthys ambulator",281525
"3955",3955,3955,"Rhamphocottus_richardsonii","Rhamphocottus richardsonii",282578
"3956",3956,3956,"Scorpaenichthys_marmoratus","Scorpaenichthys marmoratus",NA
"3957",3957,3957,"Paraliparis_neelovi","Paraliparis neelovi",234613
"3958",3958,3958,"Paraliparis_mawsoni","Paraliparis mawsoni",234666
"3959",3959,3959,"Paraliparis_paucidens","Paraliparis paucidens",274603
"3960",3960,3960,"Careproctus_georgianus","Careproctus georgianus",234643
"3961",3961,3961,"Paraliparis_melanobranchus","Paraliparis melanobranchus",274596
"3962",3962,3962,"Paraliparis_dactylosus","Paraliparis dactylosus",274568
"3963",3963,3963,"Lipariscus_nanus","Lipariscus nanus",281365
"3964",3964,3964,"Paraliparis_garmani","Paraliparis garmani",159531
"3965",3965,3965,"Paraliparis_bathybius","Paraliparis bathybius",127222
"3966",3966,3966,"Paraliparis_rosaceus","Paraliparis rosaceus",274608
"3967",3967,3967,"Paraliparis_pectoralis","Paraliparis pectoralis",274604
"3968",3968,3968,"Paraliparis_leobergi","Paraliparis leobergi",274592
"3969",3969,3969,"Paraliparis_charcoti","Paraliparis charcoti",274563
"3970",3970,3970,"Paraliparis_antarcticus","Paraliparis antarcticus",274548
"3971",3971,3971,"Paraliparis_valentinae","Paraliparis valentinae",234708
"3972",3972,3972,"Edentoliparis_terraenovae","Edentoliparis terraenovae",234699
"3973",3973,3973,"Paraliparis_cephalus","Paraliparis cephalus",274562
"3974",3974,3974,"Paraliparis_thalassobathyalis","Paraliparis thalassobathyalis",234682
"3975",3975,3975,"Rhinoliparis_attenuatus","Rhinoliparis attenuatus",282584
"3976",3976,3976,"Rhinoliparis_barbulifer","Rhinoliparis barbulifer",282585
"3977",3977,3977,"Paraliparis_copei_copei","Paraliparis copei_copei",293702
"3978",3978,3978,"Psednos_melanocephalus","Psednos melanocephalus",159540
"3979",3979,3979,"Psednos_micruroides","Psednos micruroides",274625
"3980",3980,3980,"Psednos_groenlandicus","Psednos groenlandicus",159538
"3981",3981,3981,"Rhodichthys_regina","Rhodichthys regina",127231
"3982",3982,3982,"Paraliparis_meganchus","Paraliparis meganchus",234769
"3983",3983,3983,"Paraliparis_hystrix","Paraliparis hystrix",127226
"3984",3984,3984,"Careproctus_furcellus","Careproctus furcellus",254548
