source_taxon_external_id,source_taxon_name,source_taxon_path,source_specimen_life_stage,interaction_type,target_taxon_external_id,target_taxon_name,target_taxon_path,study_citation
AphiaID:362412,Hamaticolax spinulus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax spinulus,adult,ectoparasitic,AphiaID:AphiaID:362412,Sebastes serranoides,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax spinulus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362412,Hamaticolax spinulus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax spinulus,adult,ectoparasitic,AphiaID:AphiaID:362412,Zaniolepis latipinnis,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax spinulus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:465248,Acantholochus venustus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Acantholochus venustus,adult,ectoparasitic,AphiaID:AphiaID:465248,Scorpaenichthys marmoratus,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Acantholochus venustus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362414,Umazuracola elongatus,Animalia | Arthropoda | Copepoda | Cyclopoida | Taeniacanthidae | Umazuracola | Umazuracola elongatus,adult,ectoparasitic,AphiaID:AphiaID:362414,Thamnaconus modestus,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Taeniacanthidae  |  Umazuracola  |  Umazuracola elongatus,"Ho, J.S., S. Ohtsuka & N. Nakadachi. (2006). A new family of poecilostomatoid copepods (Umazuracolidae) based on specimens parasitic on the black scraper (Thamnaconus modestus) in Japan. Zoological Science 23(5):483-496."
AphiaID:362475,Irodes parupenei,Animalia | Arthropoda | Copepoda | Cyclopoida | Taeniacanthidae | Irodes | Irodes parupenei,adult,ectoparasitic,AphiaID:AphiaID:362475,Parupeneus rubescens,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Taeniacanthidae  |  Irodes  |  Irodes parupenei,"Dkhil, M.A., W. Alhafidh, S. Al-Quraishy, M. Alotaibi, M. Banaeem, T. Alsaleh & R. Abdel-Gaber. (2022). Morphological and Phylogenetic Studies of a Copepod Species, Irodes parupenei Ho and Lin (2007), Infecting Parupeneus rubescens in Saudi Arabia. <em>Jo"
AphiaID:362477,Taeniacanthus spiniferus,Animalia | Arthropoda | Copepoda | Cyclopoida | Taeniacanthidae | Taeniacanthus | Taeniacanthus spiniferus,adult,ectoparasitic,AphiaID:AphiaID:362477,Acanthocepola limbata,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Taeniacanthidae  |  Taeniacanthus  |  Taeniacanthus spiniferus,"Ho, J.S. & C.L. Lin. (2007). Two new species of taeniacanthid copepods (Poecilostomatoida) parasitic on marine fishes of Taiwan. Systematic Parasitology 67(1):73-80."
AphiaID:362542,Anuretes justinei,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Caligidae | Anuretes | Anuretes justinei,adult,ectoparasitic,AphiaID:AphiaID:362542,Plectorhinchus lineatus,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Caligidae  |  Anuretes  |  Anuretes justinei,"Venmathi Maran, B.A., S. Ohtsuka & G.A. Boxshall. (2008). A new species of Anuretes Heller, 1865 (Copepoda: Caligidae) from the yellowbanded sweetlips Plectorhinchus lineatus (Haemulidae) off New Caledonia. <em>Systematic Parasitology.</em> 70(1): 35-40."
AphiaID:362545,Asterocheres neptunei,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Asterocheridae | Asterocheres | Asterocheres neptunei,adult,ectoparasitic,AphiaID:AphiaID:362545,Placospongia cristata,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Asterocheridae  |  Asterocheres  |  Asterocheres neptunei,"Bispo, R.; Johnsson, R.; Neves, E. (2006). A new species of <i>Asterocheres</i> (Copepoda, Siphonostomatoida, Asterocheridae) associated to <i>Placospongia cristata</i> Boury-Esnault (Porifera) in Bahia Sate, Brazil. <em>Zootaxa.</em> 1351: 23-34."
AphiaID:356756,Caligus haemulonis,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Caligidae | Caligus | Caligus haemulonis,adult,ectoparasitic,AphiaID:AphiaID:356756,Trachurus trachurus,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Caligidae  |  Caligus  |  Caligus haemulonis,"Capart, A. (1959). Copépodes parasites. <em>Résultats Scientifiques de l'Expédition Océanographique Belge dans les Eaux Côtieres Afrricaines de l'Atlantique Sud (1948-1949). Institut Royale des Sciences Naturelles de Belgique.</em> 3(5):59-126, figs. 1-37"
AphiaID:356756,Caligus haemulonis,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Caligidae | Caligus | Caligus haemulonis,adult,ectoparasitic,AphiaID:AphiaID:356756,Trigla lyra,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Caligidae  |  Caligus  |  Caligus haemulonis,"Capart, A. (1959). Copépodes parasites. <em>Résultats Scientifiques de l'Expédition Océanographique Belge dans les Eaux Côtieres Afrricaines de l'Atlantique Sud (1948-1949). Institut Royale des Sciences Naturelles de Belgique.</em> 3(5):59-126, figs. 1-37"
AphiaID:356756,Caligus haemulonis,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Caligidae | Caligus | Caligus haemulonis,adult,ectoparasitic,AphiaID:AphiaID:356756,Pagrus pagrus,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Caligidae  |  Caligus  |  Caligus haemulonis,"Capart, A. (1959). Copépodes parasites. <em>Résultats Scientifiques de l'Expédition Océanographique Belge dans les Eaux Côtieres Afrricaines de l'Atlantique Sud (1948-1949). Institut Royale des Sciences Naturelles de Belgique.</em> 3(5):59-126, figs. 1-37"
AphiaID:356756,Caligus haemulonis,Animalia | Arthropoda | Copepoda | Siphonostomatoida | Caligidae | Caligus | Caligus haemulonis,adult,ectoparasitic,AphiaID:AphiaID:356756,Plectorhinchus mediterraneus,Animalia  |  Arthropoda  |  Copepoda  |  Siphonostomatoida  |  Caligidae  |  Caligus  |  Caligus haemulonis,"Capart, A. (1959). Copépodes parasites. <em>Résultats Scientifiques de l'Expédition Océanographique Belge dans les Eaux Côtieres Afrricaines de l'Atlantique Sud (1948-1949). Institut Royale des Sciences Naturelles de Belgique.</em> 3(5):59-126, figs. 1-37"
