"","AphiaID_host","Scientificname_host","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"3101",305681,"Limanda punctatissima",305681,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=305681","Limanda punctatissima","(Steindachner, 1879)","unaccepted",NA,220,"Species",1605262,"Myzopsetta punctatissima","(Steindachner, 1879)",126117,"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Limanda","Froese, R. and D. Pauly. Editors. (2024). FishBase. Limanda punctatissima (Steindachner, 1879). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=305681 on 2024-05-18","urn:lsid:marinespecies.org:taxname:305681",1,0,0,0,NA,"exact","2023-01-11T08:59:53.383Z"
"3102",713266,"Polyprion prognathus",713266,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=713266","Polyprion prognathus","(Forster, 1801)","unaccepted",NA,220,"Species",221430,"Polyprion oxygeneios","(Schneider & Forster, 1801)",126043,"Animalia","Chordata","Teleostei","Acropomatiformes","Polyprionidae","Polyprion","Froese, R. and D. Pauly. Editors. (2024). FishBase. Polyprion prognathus (Forster, 1801). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=713266 on 2024-05-18","urn:lsid:marinespecies.org:taxname:713266",1,0,0,0,NA,"exact","2012-12-21T14:19:52.620Z"
"3103",305689,"Platichthys bicoloratus",305689,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=305689","Platichthys bicoloratus","(Basilewsky, 1855)","accepted",NA,220,"Species",305689,"Platichthys bicoloratus","(Basilewsky, 1855)",126119,"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Platichthys","Froese, R. and D. Pauly. Editors. (2024). FishBase. Platichthys bicoloratus (Basilewsky, 1855). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=305689 on 2024-05-18","urn:lsid:marinespecies.org:taxname:305689",1,1,1,0,NA,"exact","2022-06-02T07:27:35.967Z"
"3104",1535360,"Pseudopristipoma nigra",1535360,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=1535360","Pseudopristipoma nigra","(Cuvier, 1830)","unaccepted",NA,220,"Species",218539,"Plectorhinchus gibbosus","(Lacepède, 1802)",204467,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Haemulidae","Pseudopristipoma","Froese, R. and D. Pauly. Editors. (2024). FishBase. Pseudopristipoma nigra (Cuvier, 1830). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1535360 on 2024-05-18","urn:lsid:marinespecies.org:taxname:1535360",1,1,1,0,NA,"exact","2023-01-17T15:33:01.533Z"
"3105",309025,"Cynoscion nobilis",309025,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=309025","Cynoscion nobilis","(Ayres, 1860)","unaccepted",NA,220,"Species",278535,"Atractoscion nobilis","(Ayres, 1860)",159304,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Sciaenidae","Cynoscion","Froese, R. and D. Pauly. Editors. (2024). FishBase. Cynoscion nobilis (Ayres, 1860). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=309025 on 2024-05-18","urn:lsid:marinespecies.org:taxname:309025",1,0,0,0,NA,"exact","2008-02-28T13:41:07.550Z"
"3106",310832,"Galeichthys felis",310832,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=310832","Galeichthys felis","(Linnaeus, 1766)","unaccepted",NA,220,"Species",158709,"Ariopsis felis","(Linnaeus, 1766)",204607,"Animalia","Chordata","Teleostei","Siluriformes","Ariidae","Galeichthys","Froese, R. and D. Pauly. Editors. (2024). FishBase. Galeichthys felis (Linnaeus, 1766). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=310832 on 2024-05-18","urn:lsid:marinespecies.org:taxname:310832",1,1,0,0,NA,"exact","2008-02-28T13:41:07.550Z"
"3107",299649,"Muraena pardalis",299649,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=299649","Muraena pardalis","Temminck & Schlegel, 1846","unaccepted",NA,220,"Species",217472,"Enchelycore pardalis","(Temminck & Schlegel, 1846)",125637,"Animalia","Chordata","Teleostei","Anguilliformes","Muraenidae","Muraena","Froese, R. and D. Pauly. Editors. (2024). FishBase. Muraena pardalis Temminck & Schlegel, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=299649 on 2024-05-18","urn:lsid:marinespecies.org:taxname:299649",1,0,0,0,NA,"exact","2008-02-28T13:41:07.550Z"
"3108",315896,"Urolophus halleri",315896,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=315896","Urolophus halleri","Cooper, 1863","unaccepted","synonym",220,"Species",283085,"Urobatis halleri","(Cooper, 1863)",271195,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Urolophidae","Urolophus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Urolophus halleri Cooper, 1863. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=315896 on 2024-05-18","urn:lsid:marinespecies.org:taxname:315896",1,0,0,0,NA,"exact","2020-04-23T08:42:40.887Z"
"3109",312817,"Julis semicinctus",312817,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=312817","Julis semicinctus","Ayres, 1859","unaccepted",NA,220,"Species",275798,"Halichoeres semicinctus","(Ayres, 1859)",206452,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Labridae","Julis","Froese, R. and D. Pauly. Editors. (2024). FishBase. Julis semicinctus Ayres, 1859. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=312817 on 2024-05-18","urn:lsid:marinespecies.org:taxname:312817",1,0,0,0,NA,"exact","2008-02-28T13:41:07.550Z"
"3110",283085,"Urobatis halleri",283085,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=283085","Urobatis halleri","(Cooper, 1863)","accepted",NA,220,"Species",283085,"Urobatis halleri","(Cooper, 1863)",271193,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Urotrygonidae","Urobatis","Froese, R. and D. Pauly. Editors. (2024). FishBase. Urobatis halleri (Cooper, 1863). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=283085 on 2024-05-18","urn:lsid:marinespecies.org:taxname:283085",1,0,0,0,NA,"exact","2020-12-15T13:07:03.773Z"
